timestamp,id,topic,method,norm_pos,diameter,confidence,sphere,projected_sphere,circle_3d,diameter_3d,ellipse,location,model_confidence,theta,phi
774705.667923,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.21852727289970886, 0.706615555522289]",48.16746086127713,1.0,"{'center': [1.2657594448148142, -0.7112587609019905, 30.928260829741017], 'radius': 10.392304845413264}","{'center': [107.45425155612149, 89.43420592475555], 'axes': [229.40433527792638, 229.40433527792638], 'angle': 0.0}","{'center': [-4.650621934956067, -3.021508234583461, 22.702740862076062], 'normal': [-0.5693040637065346, -0.22230385925419807, -0.7915010279260006], 'radius': 1.612617380807886}",3.225234761615772,"{'center': [41.9572363967441, 56.32981333972051], 'axes': [35.91742551197825, 48.16746086127713], 'angle': 23.679148381635613}","[41.9572363967441, 56.32981333972051]",1.0,1.7949731505243571,-2.194339376127509
774705.684462,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.2181076754870748, 0.7068181255596184]",48.0984791431081,1.0,"{'center': [1.2657594448148142, -0.7112587609019905, 30.928260829741017], 'radius': 10.392304845413264}","{'center': [107.45425155612149, 89.43420592475555], 'axes': [229.40433527792638, 229.40433527792638], 'angle': 0.0}","{'center': [-4.675779047672451, -3.033089886896769, 22.7241630387189], 'normal': [-0.571724808006341, -0.2234183042676562, -0.7894396780174388], 'radius': 1.6101086306194707}",3.2202172612389415,"{'center': [41.87667369351836, 56.290919892553255], 'axes': [35.770834426576826, 48.0984791431081], 'angle': 23.679346664215757}","[41.87667369351836, 56.290919892553255]",1.0,1.796116346749309,-2.1975904083861173
774705.698824,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.2181329061204681, 0.70669849233552]",47.95384959758938,1.0,"{'center': [1.2657594448148142, -0.7112587609019905, 30.928260829741017], 'radius': 10.392304845413264}","{'center': [107.45425155612149, 89.43420592475555], 'axes': [229.40433527792638, 229.40433527792638], 'angle': 0.0}","{'center': [-4.675124099535399, -3.0287192284887423, 22.722453148979696], 'normal': [-0.5716617855924689, -0.22299773746625448, -0.7896042122343077], 'radius': 1.6052381410974088}",3.2104762821948176,"{'center': [41.881517975129874, 56.313889471580175], 'axes': [35.67303481480034, 47.95384959758938], 'angle': 23.649837344243508}","[41.881517975129874, 56.313889471580175]",1.0,1.7956848947706758,-2.1974390465692246
774705.715221,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.2179696146382214, 0.7067879405798971]",47.64295470136424,1.0,"{'center': [1.2657594448148142, -0.7112587609019905, 30.928260829741017], 'radius': 10.392304845413264}","{'center': [107.45425155612149, 89.43420592475555], 'axes': [229.40433527792638, 229.40433527792638], 'angle': 0.0}","{'center': [-4.673245257175593, -3.0233306170633076, 22.719573548471097], 'normal': [-0.5714809939021025, -0.22247921809008234, -0.7898813019224412], 'radius': 1.5949456177595247}",3.1898912355190494,"{'center': [41.85016601053851, 56.29671540865974], 'axes': [35.4532056645598, 47.64295470136424], 'angle': 23.620261011689962}","[41.85016601053851, 56.29671540865974]",1.0,1.7951530135927771,-2.1971221700611103
774705.729975,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.2180867288527556, 0.706330557772112]",47.50974988010391,1.0,"{'center': [1.2657594448148142, -0.7112587609019905, 30.928260829741017], 'radius': 10.392304845413264}","{'center': [107.45425155612149, 89.43420592475555], 'axes': [229.40433527792638, 229.40433527792638], 'angle': 0.0}","{'center': [-4.660747307199832, -3.0172742616333625, 22.708844169861102], 'normal': [-0.5702783781049652, -0.2218964450171179, -0.7909137368605603], 'radius': 1.5905444310221055}",3.181088862044211,"{'center': [41.872651939729074, 56.38453290775452], 'axes': [35.40368259972859, 47.50974988010391], 'angle': 23.60638581129244}","[41.872651939729074, 56.38453290775452]",1.0,1.7945552999892858,-2.1955022576427
774705.746596,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.21708248189488022, 0.7068712530296735]",47.22853400091229,1.0,"{'center': [1.2657594448148142, -0.7112587609019905, 30.928260829741017], 'radius': 10.392304845413264}","{'center': [107.45425155612149, 89.43420592475555], 'axes': [229.40433527792638, 229.40433527792638], 'angle': 0.0}","{'center': [-4.668864941595352, -3.030451757147673, 22.718414470740704], 'normal': [-0.5710594978388712, -0.22316445011418987, -0.7899928342290501], 'radius': 1.5815564852005046}",3.1631129704010092,"{'center': [41.679836523817, 56.28071941830269], 'axes': [35.138211314877566, 47.22853400091229], 'angle': 23.667706243231862}","[41.679836523817, 56.28071941830269]",1.0,1.7958559172029478,-2.196704776112919
774705.764353,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.21673617867148995, 0.7065250253109339]",46.94914647270114,1.0,"{'center': [1.2657594448148142, -0.7112587609019905, 30.928260829741017], 'radius': 10.392304845413264}","{'center': [107.45425155612149, 89.43420592475555], 'axes': [229.40433527792638, 229.40433527792638], 'angle': 0.0}","{'center': [-4.670311696819824, -3.019124807811159, 22.716268762588477], 'normal': [-0.5711987119252546, -0.22207451390610097, -0.7901993050922652], 'radius': 1.5723184200357894}",3.1446368400715787,"{'center': [41.61334630492607, 56.3471951403007], 'axes': [34.93967186683395, 46.94914647270114], 'angle': 23.57426892352504}","[41.61334630492607, 56.3471951403007]",1.0,1.794737925387445,-2.1966964336454176
774705.781444,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.21693228173808674, 0.706471171060705]",46.72575648522485,1.0,"{'center': [1.2657594448148142, -0.7112587609019905, 30.928260829741017], 'radius': 10.392304845413264}","{'center': [107.45425155612149, 89.43420592475555], 'axes': [229.40433527792638, 229.40433527792638], 'angle': 0.0}","{'center': [-4.658426335202613, -3.0104735074559175, 22.70526658232309], 'normal': [-0.5700550424704024, -0.2212420421412778, -0.7912579903819138], 'radius': 1.5649138519693462}",3.1298277039386924,"{'center': [41.65099809371265, 56.35753515634463], 'axes': [34.822472081358534, 46.72575648522485], 'angle': 23.55440951576415}","[41.65099809371265, 56.35753515634463]",1.0,1.7938842170927554,-2.195110043062897
774705.7980139999,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.21672762555392824, 0.7061432896534461]",46.33406307012494,0.9963973164558411,"{'center': [1.2657594448148142, -0.7112587609019905, 30.928260829741017], 'radius': 10.392304845413264}","{'center': [107.45425155612149, 89.43420592475555], 'axes': [229.40433527792638, 229.40433527792638], 'angle': 0.0}","{'center': [-4.64045978760752, -3.0062338831060638, 22.691170107463584], 'normal': [-0.5683262106219966, -0.22083408409800262, -0.7926144243077073], 'radius': 1.5520935990384244}",3.1041871980768487,"{'center': [41.611704106354225, 56.42048838653835], 'axes': [34.5882729685359, 46.33406307012494], 'angle': 23.566907622321253}","[41.611704106354225, 56.42048838653835]",1.0,1.7934659123543526,-2.192858859189297
774705.814782,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.21682077280409642, 0.7059354440748431]",46.190079214413416,1.0,"{'center': [1.2657594448148142, -0.7112587609019905, 30.928260829741017], 'radius': 10.392304845413264}","{'center': [107.45425155612149, 89.43420592475555], 'axes': [229.40433527792638, 229.40433527792638], 'angle': 0.0}","{'center': [-4.621057439340185, -3.01012081944981, 22.678374757303597], 'normal': [-0.5664592187894871, -0.2212081047220668, -0.7938456574509148], 'radius': 1.547444646401766}",3.094889292803532,"{'center': [41.629588378386515, 56.460394737630125], 'axes': [34.53399810879681, 46.190079214413416], 'angle': 23.645159745863765}","[41.629588378386515, 56.460394737630125]",1.0,1.793849417434692,-2.1905673705052457
